,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),check_sewer_permits
3093,CITY OF WEST LIBERTY,IAL031691,WEST LIBERTY,IA,7,2022,2023-02-08T12:12:27.686-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,254.0,0,,Land Application,254.0,,,,Class B,other_system
3099,ENDICOTT (V),NYL027669,ENDICOTT,NY,2,2022,2023-02-13T12:43:57.641-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",520.0,0,,Land Application,520.0,,,,Class A,other_system
3105,CARMEL WWTP,CAL047996,CARMEL,CA,9,2022,2023-02-10T16:41:56.190-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",250.71,0,,Land Application,250.71,,,,Class B,other_system
3108,CITY OF WAVERLY,IAL033197,WAVERLY,IA,7,2022,2023-02-07T12:08:52.040-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",82.97,0,,Land Application,82.97,,,,Class B,other_system
3111,WOODSTREAM STP,NJL024040,MARLTON,NJ,2,2022,2023-02-14T12:24:46.873-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",184.5,0,,Other Management Practice,,,,184.5,Not Applicable,other_system
3115,HUGHSON WWTP,CAL010521,HUGHSON,CA,9,2022,2023-02-07T13:27:40.483-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,85.75,0,,Land Application,85.75,,,,Class B,other_system
3116,OCEANSIDE SAN LUIS REY WWTP,CAL107433,OCEANSIDE,CA,9,2022,2023-02-16T16:18:13.282-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,2923.0,0,,Land Application,2999.0,,,,Class B,other_system
3117,WEST COUNTY WASTEWATER DISTRICT WWTP,CAL038539,RICHMOND,CA,9,2022,2023-02-07T14:04:03.557-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",8032.0,0,,Other Management Practice,,,,8032.0,Class B,other_system
3118,GLENWOOD SPRINGS CITY OF,COL048852,GLENWOOD SPRINGS,CO,8,2022,2023-02-21T09:07:07.963-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,158.84,0,,"Land Application, Surface Disposal",143.04,19.78,,,Class B,other_system
3119,CITY OF LAUREL,MTL020311,LAUREL,MT,8,2022,2023-02-07T13:10:49.844-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,261.0,0,,Surface Disposal,,261.0,,,Class B,other_system
3120,OCEANSIDE LA SALINA WWTP,CAL207433,OCEANSIDE,CA,9,2022,2023-02-16T16:22:28.732-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,734.0,0,,Land Application,999.0,,,,Class B,other_system
3122,BRISTOL,CTL100374,BRISTOL,CT,1,2022,2023-02-07T13:51:19.557-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1802.0,0,,Incineration,,,1802.0,,,other_system
3123,HRSD-NANSEMOND,VAL081299,SUFFOLK,VA,3,2022,2023-02-16T10:34:34.076-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW that serves 10,000 people or more",2927.0,1,Incineration,"Other Management Practice, Incineration",,,1748.4,1178.6,Not Applicable,other_system
3128,NASSAU CO DPW,NYL026859,WESTBURY,NY,2,2022,2023-02-10T11:48:01.245-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",5724.87,0,,Other Management Practice,,,,5724.87,Not Applicable,other_system
3129,NASSAU COUNTY,NYL026620,WESTBURY,NY,2,2022,2023-02-10T11:46:07.061-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",700.5,0,,Other Management Practice,,,,700.5,Not Applicable,other_system
3131,"LAWRENCE, CITY OF",KSL038644,LAWRENCE,KS,7,2022,2023-02-07T15:20:29.753-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1007.0,0,,Land Application,992.28,,,,Class B,other_system
3133,OSAGE WWTP,IAL663001,OSAGE,IA,7,2022,2023-02-07T15:04:10.871-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,58.71,0,,Land Application,53.26,,,,Class B,other_system
3134,PINERY WATER AND WASTEWATER DIST,COL041092,PARKER,CO,8,2022,2023-02-07T14:41:27.738-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,240.47,0,,Other Management Practice,,,,240.47,Not Applicable,other_system
3135,INDIANAPOLIS BELMONT & SOUTHPORT AWTP,INL023183,INDIANAPOLIS,IN,5,2022,2023-02-15T12:33:24.654-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",54113.26,2,Incineration,"Incineration, Other Management Practice",,,53804.82,308.44,Not Applicable,other_system
3136,"LAWRENCE, CITY OF WAKARUSA FACILITY",KSL099031,LAWRENCE,KS,7,2022,2023-02-07T15:21:22.710-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",443.0,0,,Land Application,265.0,,,,Class B,other_system
3146,SUMMIT COUNTY LANDFILL,COL900425,SUMMIT COUNTY,CO,8,2022,2023-02-16T18:08:11.971-0500,Other,557.0,0,,Land Application,557.0,,,,Class A EQ,other_system
3149,NORTH SAN MATEO COUNTY WWTP,CAL037737,DALY CITY,CA,9,2022,2023-02-14T18:01:48.269-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1311.72,0,,"Land Application, Other Management Practice",1271.87,,,39.85,Class B,other_system
3150,IRWD LOS ALISOS WRP,CAL105031,IRVINE,CA,9,2022,2023-02-13T16:55:28.801-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
3152,REDLANDS WWTP,CAL000490,REDLANDS,CA,9,2022,2023-02-07T20:21:20.531-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1180.0,0,,Land Application,1180.0,,,,Class B,other_system
3155,PLACERVILLE HANGTOWN CREEK WRF,CAL078956,PLACERVILLE,CA,9,2022,2023-02-08T08:55:54.733-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,191.9,0,,Land Application,191.9,,,,Class B,other_system
3156,CITY OF KNOXVILLE,IAL035866,KNOXVILLE,IA,7,2022,2023-02-08T09:18:27.195-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,9.82,0,,Land Application,9.82,,,,Class B,other_system
3157,DARTMOUTH W P C F,MAL101605,SOUTH DARTMOUTH,MA,1,2022,2023-02-08T10:23:50.005-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",908.0,0,,Land Application,908.0,,,,Class A,other_system
3163,CITY OF WEST BURLINGTON,IAL033669,WEST BURLINGTON,IA,7,2022,2023-02-08T10:14:39.605-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,0.0,0,,Other Management Practice,,,,,Not Applicable,other_system
3170,CITY OF CRESTON,IAL035238,CRESTON,IA,7,2022,2023-02-08T11:33:25.162-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,21.9,0,,Land Application,21.9,,,,Class B,other_system
3174,METROPOLITAN ST. LOUIS SEWER DISTRICT,MOL025160,ST. LOUIS,MO,7,2022,2023-02-17T15:07:59.202-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",4727.78,0,,Other Management Practice,,,,4727.78,Not Applicable,other_system
3176,LIVE OAK WWTF,FLL011805,LIVE OAK,FL,4,2022,2023-02-08T13:15:37.951-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",202.3,0,,Land Application,202.3,,,,Class B,other_system
3180,LOS OSOS WATER RECYCLING FACILITY,CAL090010,LOS OSOS,CA,9,2022,2023-02-09T17:38:47.213-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",227.0,0,,Other Management Practice,,,,227.0,Not Applicable,other_system
3182,SILVERTHORNE DILLON JOINT SEWER AUTHORITY,COL020826,SILVERTHORNE,CO,8,2022,2023-02-15T17:15:32.046-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",356.0,0,,Other Management Practice,,,,356.0,Class A,other_system
3183,CITY OF NORTH LIBERTY,IAL032905,NORTH LIBERTY,IA,7,2022,2023-02-14T10:34:04.478-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",327.34,0,,Land Application,327.34,,,,Class B,other_system
3189,ATK LAUNCH SYSTEMS INC,UTL024805,BRIGHAM CITY,UT,8,2022,2023-02-08T13:36:33.616-0500,Other,68.22,0,,Other Management Practice,,,,68.22,Not Applicable,other_system
3196,FORT WAYNE WWTP,INL032191,FT WAYNE,IN,5,2022,2023-02-09T14:17:39.045-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",26847.58,0,,Land Application,26847.58,,,,Class A EQ,other_system
3199,SELMA-KINGSBURG-FOWLER WWTP,CAL010512,KINGSBURG,CA,9,2022,2023-02-08T14:05:56.970-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1057.23,0,,Other Management Practice,,,,1057.23,Class A,other_system
3201,HAMPTON W W T P,NHL100625,HAMPTON,NH,1,2022,2023-02-14T14:01:29.951-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,602.0,0,,Surface Disposal,,602.0,,,Class B,other_system
3204,LINCOLN WTRF,CAL084476,LINCOLN,CA,9,2022,2023-02-08T14:55:00.642-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",4788.0,0,,Other Management Practice,,,,4261.0,Not Applicable,other_system
3209,JOCO TOMAHAWK CREEK WWTP,KSL055484,OLATHE,KS,7,2022,2023-02-17T18:08:21.781-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",970.25,0,,Land Application,970.25,,,,Class B,other_system
3211,CITY OF GASTONIA,NCL006033,GASTONIA,NC,4,2022,2023-02-14T13:33:09.570-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,85.67,0,,Land Application,85.67,,,,Class B,other_system
3213,"PARSONS, CITY OF",KSL097560,PARSONS,KS,7,2022,2023-02-09T10:24:18.474-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,182.61,0,,Land Application,182.61,,,,Class B,other_system
3217,SAN ELIJO WRF,CAL107999,CARDIFF BY THE SEA,CA,9,2022,2023-02-16T12:18:16.188-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,779.0,0,,Land Application,779.0,,,,Class B,other_system
3219,FORT LUPTON  CITY OF,COL021440,FORT LUPTON,CO,8,2022,2023-02-08T17:11:23.108-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,30.4,0,,Other Management Practice,,,,166.32,Not Applicable,other_system
3221,WINDSOR WWTF,CAL023345,WINDSOR,CA,9,2022,2023-02-15T19:01:39.558-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",394.17,0,,"Land Application, Other Management Practice",390.67,,,3.5,Class B,other_system
3223,BENICIA WWTP,CAL038091,BENICIA,CA,9,2022,2023-02-13T16:35:22.658-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,319.85,0,,Other Management Practice,,,,319.85,Not Applicable,other_system
3226,SEWER AUTHORITY_MID COASTSIDE,CAL038598,HALF MOON BAY,CA,9,2022,2023-02-08T20:35:23.893-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",305.5072,0,,Other Management Practice,,,,305.5072,Class B,other_system
3239,SOUTHWEST WRF,FLL455458,CAPE CORAL,FL,4,2022,2023-02-09T09:40:03.113-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,2526.18,0,,Other Management Practice,,,,2526.18,Not Applicable,other_system
3240,PLATTSBURGH (C),NYL026018,PLATTSBURGH,NY,2,2022,2023-02-09T13:41:33.369-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1439.0,0,,Other Management Practice,,,,1439.0,"Not Applicable, Class A",other_system
3243,CITY OF GREENFIELD,IAL021369,GREENFIELD,IA,7,2022,2023-02-17T09:39:02.321-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,40.16,0,,Land Application,40.16,,,,Class B,other_system
3247,WILLITS WQCP,CAL023060,WILLITS,CA,9,2022,2023-02-09T12:35:07.198-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,111.5,0,,Land Application,200.0,,,,Class B,other_system
3249,CITY OF CLINTON,MOL097390,CLINTON,MO,7,2022,2023-02-09T13:12:07.775-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,204.88,0,,Land Application,204.88,,,,Class B,other_system
3250,LA JUNTA CITY OF,COL021261,LA JUNTA,CO,8,2022,2023-02-09T12:39:35.641-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,109.67,0,,Land Application,109.67,,,,Class B,other_system
3252,ESTES PARK SANITATION DISTRICT,COL020290,ESTES PARK,CO,8,2022,2023-02-09T12:33:24.618-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,110.37,0,,Other Management Practice,,,,110.37,Class B,other_system
3254,METROPOLITAN SAINT LOUIS SEWER DISTRICT,MOL086126,ST. LOUIS,MO,7,2022,2023-02-16T12:10:55.308-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",872.194,0,,Other Management Practice,,,,872.19,"Not Applicable, Class B",other_system
3261,AMHERST W W T P,MAL100218,HADLEY,MA,1,2022,2023-02-09T13:31:56.016-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",855.64,0,,Other Management Practice,,,,855.64,Not Applicable,other_system
3264,MOORESTOWN TOWNSHIP STP,NJL024996,MOORESTOWN,NJ,2,2022,2023-02-09T15:02:52.493-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,180.947,0,,Land Application,180.947,,,,Class A,other_system
3267,EVANS CITY OF,COL047287,EVANS,CO,8,2022,2023-02-16T11:04:18.033-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",295.63,0,,"Land Application, Other Management Practice",160.16,,,135.47,Class B,other_system
3270,CITY OF TROY,MOL131296,TROY,MO,7,2022,2023-02-09T17:37:26.352-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,170.39,0,,Land Application,170.39,,,,Class B,other_system
3277,NORTHGLENN CITY OF,COL036757,NORTHGLENN,CO,8,2022,2023-02-14T15:58:00.243-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",458.53,0,,Land Application,458.53,,,,Class B,other_system
3279,SYNAGRO CENTRAL VALLEY COMPOST FACILITY,CAL000700,DOS PALOS,CA,9,2022,2023-02-20T15:35:52.739-0500,Other,19274.0,0,,Land Application,19274.0,,,,Class A EQ,other_system
3280,NTUA WINDOW ROCK WWTP,NNL021555,FORT DEFIANCE,AZ,9,2022,2023-02-16T14:31:29.435-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1116.21,0,,Other Management Practice,,,,1116.21,Not Applicable,other_system
3281,SANFORD/SOUTH WRF #2,FLL181714,SANFORD,FL,4,2022,2023-02-09T16:47:20.766-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",224.63,0,,Other Management Practice,,,,224.63,Not Applicable,other_system
3284,BENTLY RANCH COMPOST,NVL010500,MINDEN,NV,9,2022,2023-02-15T11:57:06.114-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,3128.0,1,Land Application,Land Application,3128.0,,,,Class A EQ,other_system
